date,minute,label,high,low,open,close,average,volume,notional,numberOfTrades,symbol
2020-10-22,09:30,09:30 AM,541.89,540.75,540.965,541.89,541.018,652,352743.7,22,NVDA
2020-10-22,09:31,09:31 AM,544.005,543,543.84,543,543.611,760,413144.67,14,NVDA
2020-10-22,09:32,09:32 AM,543.83,542.41,542.41,543.83,542.846,1268,688329.015,22,NVDA
2020-10-22,09:33,09:33 AM,543.95,542.73,543.54,542.73,543.319,1253,680778.59,14,NVDA
2020-10-22,09:34,09:34 AM,543.45,542.59,542.795,542.59,543.088,2243,1218145.96,25,NVDA
2020-10-22,09:35,09:35 AM,543.54,542.43,542.8,543.1,542.882,2297,1247000.485,23,NVDA
2020-10-22,09:36,09:36 AM,543.16,542.13,543.13,542.36,542.71,700,379896.84,9,NVDA
2020-10-22,09:37,09:37 AM,543.3,542.355,542.36,543.3,542.717,45,24422.255,4,NVDA
2020-10-22,09:38,09:38 AM,543.69,542.32,543.59,542.5,543.09,1085,589252.45,18,NVDA
2020-10-22,09:39,09:39 AM,542.06,541.03,542.06,541.75,541.25,3559,1926310.69,29,NVDA
2020-10-22,09:40,09:40 AM,542.49,541.675,541.97,541.87,541.91,2781,1507052.57,25,NVDA
2020-10-22,09:41,09:41 AM,543.33,542.87,542.96,543.12,543.139,2384,1294844.325,25,NVDA
2020-10-22,09:42,09:42 AM,543.55,542.625,543.015,543.39,542.901,2622,1423485.9,24,NVDA
2020-10-22,09:43,09:43 AM,543.9,542.97,543.3,543.87,543.468,1420,771724.75,16,NVDA
2020-10-22,09:44,09:44 AM,544.46,543.86,543.86,544.46,544.103,2922,1589868.82,28,NVDA
2020-10-22,09:45,09:45 AM,544.31,543.61,544.31,543.99,543.942,1995,1085164.74,22,NVDA
2020-10-22,09:46,09:46 AM,543.69,542.79,543.69,543.14,543.046,1423,772755.16,18,NVDA
2020-10-22,09:47,09:47 AM,543.5,543.265,543.28,543.5,543.303,1213,659026.545,14,NVDA
2020-10-22,09:48,09:48 AM,543.85,542.9,543.85,542.97,543.409,1147,623290.79,15,NVDA
2020-10-22,09:49,09:49 AM,543.1,542.51,543,542.585,542.785,1275,692050.445,21,NVDA
2020-10-22,09:50,09:50 AM,542.65,542.165,542.64,542.35,542.316,1961,1063481.36,29,NVDA
2020-10-22,09:51,09:51 AM,542.855,542.515,542.515,542.855,542.718,1182,641492.83,13,NVDA
2020-10-22,09:52,09:52 AM,543.54,542.845,542.845,543.28,543.341,1014,550948.115,10,NVDA
2020-10-22,09:53,09:53 AM,543.27,543.02,543.19,543.21,543.155,844,458423.11,11,NVDA
2020-10-22,09:54,09:54 AM,543.08,542.73,543.02,543.065,543.031,589,319845.4,12,NVDA
2020-10-22,09:55,09:55 AM,543.26,542.69,542.85,543.26,543.064,1212,658193.12,16,NVDA
2020-10-22,09:56,09:56 AM,543.595,543.17,543.24,543.25,543.343,2861,1554504.01,28,NVDA
2020-10-22,09:57,09:57 AM,543.46,543.14,543.25,543.425,543.384,592,321683.5,8,NVDA
2020-10-22,09:58,09:58 AM,543.665,543.34,543.52,543.34,543.619,379,206031.65,7,NVDA
2020-10-22,09:59,09:59 AM,543.65,543.17,543.41,543.63,543.479,730,396739.86,11,NVDA
2020-10-22,10:00,10 AM,544.17,542.66,543.57,542.855,543.633,1488,808926.345,21,NVDA
2020-10-22,10:01,10:01 AM,543.3,542.55,542.55,543.3,542.832,755,409838.28,13,NVDA
2020-10-22,10:02,10:02 AM,543.165,542.645,543.165,542.765,542.844,407,220937.6,6,NVDA
2020-10-22,10:03,10:03 AM,542.43,542.31,542.35,542.35,542.355,610,330836.3,7,NVDA
2020-10-22,10:04,10:04 AM,542.29,541.8,542.01,542.29,541.997,1102,597280.57,13,NVDA
2020-10-22,10:05,10:05 AM,542.59,542.17,542.19,542.59,542.315,1111,602511.54,14,NVDA
2020-10-22,10:06,10:06 AM,542.86,542.53,542.675,542.53,542.773,707,383740.835,10,NVDA
2020-10-22,10:07,10:07 AM,542.76,541.76,542.76,541.76,542.129,1167,632664,14,NVDA
2020-10-22,10:08,10:08 AM,541.6,540.68,541.6,540.82,541.211,1009,546081.72,16,NVDA
2020-10-22,10:09,10:09 AM,540.9,540.22,540.9,540.44,540.486,1181,638313.8,13,NVDA
2020-10-22,10:10,10:10 AM,540.625,540.32,540.625,540.6,540.491,583,315106.6,11,NVDA
2020-10-22,10:11,10:11 AM,541.21,540.6,541.2,540.6,540.956,515,278592.52,10,NVDA
2020-10-22,10:12,10:12 AM,540.26,539.49,540.26,539.76,539.797,1112,600254.595,17,NVDA
2020-10-22,10:13,10:13 AM,540.1,539.92,539.92,540.1,540.096,102,55089.84,2,NVDA
2020-10-22,10:14,10:14 AM,540.79,540.25,540.25,540.64,540.567,459,248120.48,7,NVDA
2020-10-22,10:15,10:15 AM,540.79,540.105,540.79,540.14,540.326,925,499801.49,13,NVDA
2020-10-22,10:16,10:16 AM,540.13,539.65,540.13,539.86,539.827,684,369241.62,11,NVDA
2020-10-22,10:17,10:17 AM,539.24,539.15,539.24,539.15,539.232,11,5931.55,2,NVDA
2020-10-22,10:18,10:18 AM,539.025,538.86,538.885,538.86,538.953,312,168153.285,7,NVDA
2020-10-22,10:19,10:19 AM,539.01,538.23,538.89,538.23,538.603,750,403952.32,11,NVDA
2020-10-22,10:20,10:20 AM,538.3,537.7,538.3,537.75,537.918,1435,771912.6,26,NVDA
2020-10-22,10:21,10:21 AM,537.82,537.49,537.79,537.51,537.643,523,281187.29,8,NVDA
2020-10-22,10:22,10:22 AM,538.01,537.585,537.66,538.01,537.709,397,213470.37,6,NVDA
2020-10-22,10:23,10:23 AM,537.81,536.86,537.77,536.86,537.261,264,141836.91,7,NVDA
2020-10-22,10:24,10:24 AM,536.9,536.58,536.88,536.63,536.748,725,389142.5,10,NVDA
2020-10-22,10:25,10:25 AM,536.505,535.18,536.505,535.72,535.56,1660,889029.23,21,NVDA
2020-10-22,10:26,10:26 AM,535.795,535.5,535.795,535.5,535.578,172,92119.395,6,NVDA
2020-10-22,10:27,10:27 AM,536.71,536.035,536.035,536.63,536.46,671,359964.6,10,NVDA
2020-10-22,10:28,10:28 AM,536.62,536.13,536.62,536.45,536.432,501,268752.26,6,NVDA
2020-10-22,10:29,10:29 AM,536.3,535.89,536.3,536.135,536.033,511,273912.61,7,NVDA
2020-10-22,10:30,10:30 AM,536.65,535.53,536.205,535.71,536.076,985,528034.86,15,NVDA
2020-10-22,10:31,10:31 AM,535.65,534.63,535.59,535.25,535.157,712,381031.595,11,NVDA
2020-10-22,10:32,10:32 AM,535.08,533.26,535.08,533.525,534.129,1562,834309.255,20,NVDA
2020-10-22,10:33,10:33 AM,533.49,532.39,533.49,532.725,533.065,1020,543726.19,20,NVDA
2020-10-22,10:34,10:34 AM,533.05,532.76,532.8,533.035,532.916,209,111379.4,5,NVDA
2020-10-22,10:35,10:35 AM,533.61,533.23,533.35,533.6,533.433,393,209639.12,7,NVDA
2020-10-22,10:36,10:36 AM,533.84,533.375,533.775,533.84,533.484,585,312088.43,8,NVDA
2020-10-22,10:37,10:37 AM,534.39,533.91,533.97,534.08,534.119,1871,999336.165,19,NVDA
2020-10-22,10:38,10:38 AM,534.195,533.46,534.195,533.58,533.699,2731,1457532.08,31,NVDA
2020-10-22,10:39,10:39 AM,533.79,533,533.79,533.17,533.615,1806,963708.12,19,NVDA
2020-10-22,10:40,10:40 AM,533.115,532.33,533.115,532.96,532.836,2015,1073663.615,23,NVDA
2020-10-22,10:41,10:41 AM,533.525,533.29,533.32,533.3,533.406,528,281638.3,7,NVDA
2020-10-22,10:42,10:42 AM,533.18,532.74,533.06,532.74,532.933,1111,592088.15,13,NVDA
2020-10-22,10:43,10:43 AM,532.645,531.63,532.645,531.84,532.016,1693,900702.65,30,NVDA
2020-10-22,10:44,10:44 AM,531.78,530.58,531.78,530.74,531.137,1593,846101.86,20,NVDA
2020-10-22,10:45,10:45 AM,531.71,530.55,530.57,531.45,531.343,1402,744943.38,17,NVDA
2020-10-22,10:46,10:46 AM,532.23,531.06,531.41,532.23,531.333,723,384153.5,11,NVDA
2020-10-22,10:47,10:47 AM,532.55,531.7,532.55,531.7,532.03,601,319750.37,7,NVDA
2020-10-22,10:48,10:48 AM,531.79,531.02,531.34,531.79,531.301,1289,684847.5,20,NVDA
2020-10-22,10:49,10:49 AM,531.6,531.24,531.6,531.465,531.48,652,346525.04,9,NVDA
2020-10-22,10:50,10:50 AM,531.63,530.43,531.63,530.7,530.929,1235,655698.05,14,NVDA
2020-10-22,10:51,10:51 AM,533.57,532.025,532.025,533.57,532.965,393,209455.285,10,NVDA
2020-10-22,10:52,10:52 AM,533.79,532.38,533.63,532.38,533.172,402,214335.16,6,NVDA
2020-10-22,10:53,10:53 AM,532.82,532.24,532.48,532.415,532.595,670,356838.885,10,NVDA
2020-10-22,10:54,10:54 AM,532.77,532.47,532.47,532.77,532.631,401,213585.085,5,NVDA
2020-10-22,10:55,10:55 AM,533.47,532.6,532.75,533.47,532.954,640,341090.465,11,NVDA
2020-10-22,10:56,10:56 AM,533.48,532.83,533.43,532.98,533.204,1174,625981.59,18,NVDA
2020-10-22,10:57,10:57 AM,533.31,532.725,533.25,532.875,532.992,935,498347.915,11,NVDA
2020-10-22,10:58,10:58 AM,533.08,532.86,532.9,533.05,532.941,410,218505.8,5,NVDA
2020-10-22,10:59,10:59 AM,533.39,532.655,533.38,532.805,532.997,931,496219.945,12,NVDA
2020-10-22,11:00,11 AM,533.3,532.77,532.77,533.3,533.187,352,187681.65,6,NVDA
2020-10-22,11:01,11:01 AM,534,533.74,533.74,533.86,533.856,280,149479.8,7,NVDA
2020-10-22,11:02,11:02 AM,533.8,532.95,533.66,532.95,533.335,525,280000.73,10,NVDA
2020-10-22,11:03,11:03 AM,533.725,533.22,533.22,533.6,533.352,792,422414.875,11,NVDA
2020-10-22,11:04,11:04 AM,534.02,533.75,533.75,533.9,533.942,591,315559.65,7,NVDA
2020-10-22,11:05,11:05 AM,533.945,533.56,533.93,533.66,533.784,564,301054.02,10,NVDA
2020-10-22,11:06,11:06 AM,533.885,532.915,533.86,532.915,533.518,830,442820.15,14,NVDA
2020-10-22,11:07,11:07 AM,532.795,532,532.39,532.795,532.178,617,328353.875,10,NVDA
2020-10-22,11:08,11:08 AM,532.75,532.58,532.72,532.58,532.683,302,160870.3,5,NVDA
2020-10-22,11:09,11:09 AM,532.66,531.57,532.555,531.57,532.042,546,290495.01,9,NVDA
2020-10-22,11:10,11:10 AM,532.03,531.75,531.77,531.99,531.877,398,211687.07,9,NVDA
2020-10-22,11:11,11:11 AM,532.68,532.43,532.43,532.68,532.668,105,55930.15,2,NVDA
2020-10-22,11:12,11:12 AM,532.965,532.48,532.58,532.965,532.505,413,219924.685,7,NVDA
2020-10-22,11:13,11:13 AM,533.38,533.38,533.38,533.38,533.38,521,277890.98,3,NVDA
2020-10-22,11:14,11:14 AM,534.62,533.87,533.87,534.54,534.13,381,203503.62,7,NVDA
2020-10-22,11:15,11:15 AM,534.72,534.09,534.39,534.09,534.347,1196,639079.35,14,NVDA
2020-10-22,11:16,11:16 AM,533.77,533.46,533.59,533.77,533.675,548,292454.02,7,NVDA
2020-10-22,11:17,11:17 AM,533.84,533.46,533.55,533.46,533.648,205,109397.75,3,NVDA
2020-10-22,11:18,11:18 AM,533.65,533.23,533.65,533.23,533.405,397,211761.88,6,NVDA
2020-10-22,11:19,11:19 AM,533.455,533.18,533.43,533.18,533.352,501,267209.455,7,NVDA
2020-10-22,11:20,11:20 AM,533.81,533.195,533.25,533.68,533.451,592,315802.76,9,NVDA
2020-10-22,11:21,11:21 AM,534.74,534.45,534.57,534.65,534.665,381,203707.35,5,NVDA
2020-10-22,11:22,11:22 AM,534.96,534.7,534.75,534.7,534.826,591,316082.2,7,NVDA
2020-10-22,11:23,11:23 AM,534.99,534.67,534.75,534.99,534.876,1216,650409.74,15,NVDA
