date,minute,label,high,low,open,close,average,volume,notional,numberOfTrades,symbol
2020-10-22,09:30,09:30 AM,495.14,490.03,494.95,490.26,491.955,2385,1173312.55,30,NFLX
2020-10-22,09:31,09:31 AM,492.46,490.35,490.35,491.24,491.166,575,282420.75,8,NFLX
2020-10-22,09:32,09:32 AM,492.39,490.53,492.02,491.23,491.178,1239,608569.22,17,NFLX
2020-10-22,09:33,09:33 AM,491.9,491,491.75,491.58,491.553,800,393242.72,14,NFLX
2020-10-22,09:34,09:34 AM,492.03,491.27,491.91,491.935,491.708,498,244870.7,8,NFLX
2020-10-22,09:35,09:35 AM,493.27,492.18,492.18,493.205,492.486,1597,786499.9,9,NFLX
2020-10-22,09:36,09:36 AM,493.29,491.38,493.29,491.38,492.163,703,345990.7,10,NFLX
2020-10-22,09:37,09:37 AM,490.79,489.49,490.61,489.85,490.281,1947,954576.92,28,NFLX
2020-10-22,09:38,09:38 AM,490.59,488.565,489.76,488.565,489.24,4752,2324869.56,40,NFLX
2020-10-22,09:39,09:39 AM,488.52,487.22,488.25,487.94,487.813,6216,3032243.05,45,NFLX
2020-10-22,09:40,09:40 AM,489.3,488.06,488.16,488.5,488.556,2795,1365513.42,34,NFLX
2020-10-22,09:41,09:41 AM,490.25,488.2,488.2,489.39,489.196,5628,2753195.45,51,NFLX
2020-10-22,09:42,09:42 AM,489.65,487.85,489.195,488.93,488.691,3444,1683052.28,41,NFLX
2020-10-22,09:43,09:43 AM,491.56,488.79,489.37,491.41,490.366,2941,1442166.01,37,NFLX
2020-10-22,09:44,09:44 AM,492.66,491.15,491.37,491.97,491.785,2425,1192577.94,26,NFLX
2020-10-22,09:45,09:45 AM,491.85,490.4,491.63,491.68,491.258,1651,811067.555,23,NFLX
2020-10-22,09:46,09:46 AM,492.12,491.01,491.045,491.94,491.659,1835,902195.055,26,NFLX
2020-10-22,09:47,09:47 AM,492.16,491.12,491.84,491.37,491.498,439,215767.575,15,NFLX
2020-10-22,09:48,09:48 AM,492.62,490.04,491.2,490.26,491.585,2187,1075096.72,60,NFLX
2020-10-22,09:49,09:49 AM,490.13,488.85,490.04,488.99,489.492,1360,665708.88,34,NFLX
2020-10-22,09:50,09:50 AM,489.12,488.09,488.96,489.12,488.496,4269,2085390.195,51,NFLX
2020-10-22,09:51,09:51 AM,490.34,489.09,489.09,489.17,489.685,1402,686538.825,26,NFLX
2020-10-22,09:52,09:52 AM,489.38,488.475,489.38,488.75,488.778,1622,792797.455,28,NFLX
2020-10-22,09:53,09:53 AM,488.79,487.5,488.56,487.965,488.04,3503,1709604.22,53,NFLX
2020-10-22,09:54,09:54 AM,487.98,486.59,487.91,487.38,487.17,2430,1183822.63,42,NFLX
2020-10-22,09:55,09:55 AM,487.735,487,487,487.54,487.439,1275,621484.81,24,NFLX
2020-10-22,09:56,09:56 AM,487.755,487.05,487.58,487.265,487.412,5520,2690514.9,45,NFLX
2020-10-22,09:57,09:57 AM,488.17,487.06,487.36,487.61,487.477,4289,2090790.645,50,NFLX
2020-10-22,09:58,09:58 AM,487.99,486.83,487.71,486.98,487.303,1647,802587.33,22,NFLX
2020-10-22,09:59,09:59 AM,487.15,486.1,487.02,486.2,486.764,1956,952111.29,28,NFLX
2020-10-22,10:00,10 AM,487.18,485.65,485.77,486.415,486.246,3073,1494233.88,46,NFLX
2020-10-22,10:01,10:01 AM,486.74,485.8,486.12,486.74,486.105,2376,1154985.44,33,NFLX
2020-10-22,10:02,10:02 AM,487.12,486.28,486.85,486.42,486.704,1466,713508.31,23,NFLX
2020-10-22,10:03,10:03 AM,486.56,485.97,486.5,486.36,486.299,1681,817468.705,25,NFLX
2020-10-22,10:04,10:04 AM,486.87,486.14,486.41,486.27,486.523,1538,748271.89,25,NFLX
2020-10-22,10:05,10:05 AM,487.28,486.25,486.25,487.28,486.682,2414,1174851.21,34,NFLX
2020-10-22,10:06,10:06 AM,487.09,486.56,487.09,486.56,486.873,617,300400.94,10,NFLX
2020-10-22,10:07,10:07 AM,486.39,485.85,486.14,485.94,486.064,689,334898.005,18,NFLX
2020-10-22,10:08,10:08 AM,485.97,485.12,485.77,485.24,485.442,890,432043.8,15,NFLX
2020-10-22,10:09,10:09 AM,485.48,485.075,485.48,485.075,485.253,435,211084.9,5,NFLX
2020-10-22,10:10,10:10 AM,485.84,485.01,485.065,485.84,485.572,1075,521990.4,14,NFLX
2020-10-22,10:11,10:11 AM,486.44,486,486.2,486,486.295,399,194031.83,9,NFLX
2020-10-22,10:12,10:12 AM,486.14,485.08,486.01,485.1,485.534,907,440379.26,13,NFLX
2020-10-22,10:13,10:13 AM,485.94,485.16,485.33,485.41,485.511,1490,723411.55,22,NFLX
2020-10-22,10:14,10:14 AM,486,485.38,485.47,485.74,485.748,1794,871431.56,27,NFLX
2020-10-22,10:15,10:15 AM,485.8,485.12,485.675,485.23,485.52,1315,638458.53,17,NFLX
2020-10-22,10:16,10:16 AM,485.81,485.01,485.16,485.81,485.211,530,257161.86,11,NFLX
